customer_city,total_sales
dourado,1120.3300000000002
rio rufino,59.0
paranavai,7120.95
ribeirao preto,64672.27
ipanema,3727.7699999999995
piedade de caratinga,662.07
videira,7822.350000000001
sao vicente,19234.08
umuarama,5770.5199999999995
unai,6825.390000000001
timoteo,7697.870000000001
holambra,2719.2
joanopolis,824.6
adamantina,5393.070000000001
nhandeara,595.26
lourdes,193.7
arraial d'ajuda,594.42
catas altas,1052.85
alcobaca,1289.78
catigua,668.5699999999999
tucano,748.69
campestre da serra,1348.99
matao,7162.720000000001
uberaba,27338.65
diadema,28839.98000000001
barra do garcas,4076.1999999999994
alto rio doce,213.42000000000002
cordeiros,322.75
presidente prudente,25517.33
baturite,447.97
nova granada,1790.3300000000002
navegantes,6783.170000000001
andradas,4070.3100000000004
campinapolis,324.86
guaicara,767.23
costa marques,1534.9
panambi,3640.9899999999993
sao leopoldo,11037.67
americana,24462.179999999997
nova brasilandia d'oeste,402.79999999999995
ribeirao das neves,12584.539999999999
nova floresta,129.6
patos,4036.6500000000005
trancoso,754.1999999999999
chavantes,926.5200000000001
arenopolis,108.9
sao geraldo do baguari,117.3
custodia,584.88
caruaru,9265.7
meridiano,119.0
itaipava,406.84000000000003
resplendor,739.06
taquarituba,2418.62
tocantins,681.3799999999999
varginha,13933.099999999999
taubate,28887.100000000002
juazeiro do norte,6697.999999999999
cacoal,1801.4700000000003
santo antonio do aventureiro,77.99
itaborai,6555.8499999999985
sao sebastiao do paraiso,4800.050000000001
paranaiba,1396.24
portelandia,93.99000000000001
querencia,2302.62
sao jose da barra,987.1400000000001
imbuia,1501.88
lucelia,961.35
itaju,927.8
maracanau,4813.33
inhapim,436.35
uniao da serra,18.5
santa rita d'oeste,178.57000000000002
bombinhas,1935.4100000000003
alta floresta,3495.55
marataizes,2907.27
novo alegre,279.99
biguacu,3270.2300000000005
baldim,650.99
ibotirama,3032.39
macapa,11352.43
sanga puita,36.9
orlandia,4027.32
piedade dos gerais,392.88
joao pinheiro,2475.31
cedral,1623.24
boituva,6852.15
andrelandia,119.36000000000001
tangara da serra,3905.7000000000003
presidente epitacio,2572.5199999999995
tiete,4111.22
sao jose dos campos,75425.30999999998
monte carmelo,2869.14
sertania,343.28999999999996
linhares,11925.11
paicandu,943.16
sao gabriel da palha,1406.8000000000002
aracaju,34485.94
taboao da serra,34740.69
tapes,797.35
igarapava,791.0899999999999
rio de contas,226.70000000000002
xangri-la,1013.5799999999999
campo grande,56513.68
sao jose do rio preto,46669.73000000001
pederneiras,3007.0699999999997
mineiros,3379.3
coronel joao sa,587.99
miracema,1547.26
itaberai,1012.08
nova odessa,4352.71
chapeco,15106.109999999999
jaguarao,1025.29
montenegro,4910.599999999999
itapetininga,12232.88
novo horizonte,2663.3000000000006
santa rita do sapucai,3910.7
carlos barbosa,2554.79
morretes,587.98
bage,8936.64
jacarei,18055.78
santo eduardo,215.0
campina das missoes,155.8
sideropolis,299.7
bom jardim,2503.0499999999997
guarulhos,138897.19999999987
marau,2167.34
itajuba,13667.8
tocos,338.9
diamantina,2424.28
marilandia,1436.07
passos,4247.280000000001
diamante d'oeste,289.9
uniao da vitoria,5081.93
sao raimundo nonato,2145.39
itu,12266.339999999998
treze tilias,885.66
itaguaru,84.89
confresa,1065.65
sao joao del rei,8168.070000000001
mostardas,1517.83
bom despacho,4680.530000000001
jacobina,7029.759999999999
aruja,7606.78
zortea,99.80000000000001
barra do bugres,840.25
angatuba,818.7499999999999
marechal candido rondon,3469.7099999999996
ecoporanga,881.92
aluminio,1252.1499999999999
ibiapina,197.89
goitacazes,1116.34
floriano,2424.0200000000004
cafelandia,2374.31
volta redonda,33329.100000000006
aparecida de goiania,14203.980000000001
alfenas,5350.319999999999
paragominas,2033.6500000000003
itambacuri,601.77
forquilha,348.47
carangola,4281.2699999999995
bento goncalves,6648.58
cabo frio,16016.520000000002
petropolis,32247.680000000004
penapolis,4776.579999999999
parana,108.88
mandaguari,5039.15
santo antonio do jacinto,406.59000000000003
monnerat,284.84000000000003
arvorezinha,262.5
rio claro,19936.56
aracatuba,16589.39
morro do chapeu,557.5699999999999
barbacena,12201.439999999999
catalao,5354.039999999999
jaguari,157.89
cunha,2845.12
itaiopolis,1313.59
garanhuns,3948.4799999999996
auriflama,1871.6600000000003
mantena,1652.22
poco fundo,933.99
campo largo,3849.9900000000002
bernardino de campos,256.09000000000003
sao joaquim da barra,4302.490000000001
mucuri,2203.67
criciuma,13725.080000000002
resende,13390.35
apora,44.9
peruibe,6531.119999999999
barra bonita,3902.43
rancharia,2623.2900000000004
bambui,2206.6700000000005
anta,241.88
tatui,11281.029999999999
jequie,4687.840000000001
timbauba,567.67
capao do leao,1072.25
barra de sao joao,2440.8500000000004
arraial do cabo,5176.55
tabocas do brejo velho,139.88
pecanha,794.8
eunapolis,6788.61
franca,22015.55
aguai,1985.5500000000002
araxa,13046.420000000002
rio grande da serra,2169.31
santa cruz do sul,10360.879999999996
porto alegre,182140.54999999984
foz do iguacu,11506.38
chaveslandia,233.79000000000002
santa maria de jetiba,1888.9699999999998
orobo,99.9
macambara,162.74
cataguases,4474.870000000001
sacramento,1986.57
bananal,582.25
araguana,119.0
candido rodrigues,81.78999999999999
montes claros,25967.149999999998
nova serrana,7447.26
baixo guandu,1399.1000000000001
ouro fino,2511.84
cambuquira,340.76
varzea paulista,10252.39
campo maior,993.66
cabo de santo agostinho,2877.95
pirai,2218.1600000000003
capivari,4663.71
rio do antonio,259.0
eldorado do sul,1853.48
itauba,1420.98
faxinal dos guedes,1512.73
denise,507.0
piratininga,1583.28
laranjal,316.99
bonfim paulista,2457.37
porangatu,1828.15
goianapolis,1086.98
aparecida de monte alto,179.9
amparo,11395.729999999998
mairi,913.0
altaneira,369.6
itaperuna,5563.579999999998
peabiru,675.39
charqueada,1122.67
quilombo,174.78
ipira,3362.98
rio paranaiba,680.27
botucatu,17104.510000000002
cachoeira do campo,828.99
sao francisco do conde,276.8
lago verde,98.0
sao francisco do sul,1549.0800000000002
guamiranga,214.0
visconde do rio branco,1557.3400000000001
camaragibe,2625.08
ilha de itamaraca,524.4399999999999
casca,1326.27
armacao dos buzios,4817.41
francisco beltrao,7291.579999999999
forquilhinha,1143.85
sud mennucci,377.87
limeira,22804.260000000002
cajari,289.0
nucleo residencial pilar,2024.3500000000001
serra dos aimores,351.82
sao joao do piaui,1541.8000000000002
barreirinhas,361.42
santo antonio da platina,1140.6100000000001
tres rios,7172.62
ouro preto,6711.559999999999
porteiras,16.55
palmeira dos indios,1094.4099999999999
guaira,4519.0199999999995
dourados,8849.709999999997
escada,2658.4300000000003
coronel macedo,92.9
balneario picarras,1426.81
alvaro de carvalho,358.0
estreito,305.89
maraba,3597.1700000000005
lauro muller,1449.5700000000002
arcoverde,515.8
barra mansa,18698.980000000003
brauna,400.78999999999996
guia lopes da laguna,29.99
aracariguama,616.88
tramandai,2703.5200000000004
barra do pirai,5059.2
santa adelia,1609.65
sao roque,9433.18
cianorte,4863.67
formoso do araguaia,251.28000000000003
tamarana,103.9
cerquilho,3182.6100000000006
rio verde,9558.41
almirante tamandare,4255.69
pirassununga,8550.33
socorro,2319.45
junqueiropolis,2029.2400000000002
blumenau,24240.08
muritiba,159.49
matutina,134.89000000000001
sao goncalo do amarante,1280.55
inhumas,2210.8300000000004
pancas,159.94
itapui,1307.09
mogi-guacu,11629.82
aguas de lindoia,3092.5899999999997
araquari,993.25
lajeado,8188.410000000001
santo angelo,5333.46
guarapari,10494.41
sorocaba,74638.17999999998
carmo da cachoeira,319.44
poloni,163.12
imbe,2727.95
iconha,315.74
catu,1486.97
betim,27863.709999999995
ararangua,2246.55
jardim,648.65
pinhalzinho,2117.2799999999997
manfrinopolis,111.0
belford roxo,12205.359999999999
votuporanga,8372.9
ascurra,342.59999999999997
caninde,565.39
casimiro de abreu,3458.33
ipueiras,1547.29
alfredo vasconcelos,567.99
arapongas,6325.059999999999
paco do lumiar,766.38
andradina,6302.53
redencao do gurgueia,179.8
itapejara d'oeste,1049.9
carmo do cajuru,1638.4399999999998
campina verde,659.4799999999999
descalvado,1231.74
abadiania,949.99
jose bonifacio,1486.3400000000004
maioba,648.89
cruzeiro,6109.500000000001
itau,666.8
bom jesus do itabapoana,3405.91
benedito leite,95.9
uba,6369.76
sao miguel do oeste,6095.820000000001
martins soares,408.79
juazeiro,7401.279999999999
caete,2482.97
urussanga,893.68
lajedo,916.27
porto velho,21890.55
itarare,3915.3000000000006
cambui,3133.7400000000002
cornelio procopio,2234.1699999999996
joviania,376.97
bom jesus dos perdoes,1608.7300000000002
macae,30445.440000000002
inacio martins,242.99
tocantinopolis,731.65
sao mateus,6569.969999999999
mato verde,420.43
farroupilha,3213.0299999999997
sapiranga,3375.7
nova itaberaba,308.89
campo alegre de goias,175.89000000000001
rio real,386.0
ribeirao pires,10103.729999999998
santa maria do suacui,454.9
mococa,6020.969999999998
morungaba,582.6899999999999
monte azul,619.9
piratuba,941.48
itatiaia,1526.4600000000003
picui,107.99
rio preto,161.68
primavera do leste,6232.8099999999995
serra do salitre,49.99
alvares florence,185.76
turvelandia,27.3
limeira do oeste,441.7
esteio,6068.71
rinopolis,104.89
guaruja,28878.390000000007
palhoca,10910.460000000001
ponta grossa,18573.48
teodoro sampaio,1324.67
tupa,6483.029999999999
paraguacu,1452.8500000000001
ipumirim,281.40999999999997
nazario,237.89000000000001
santa cecilia,655.69
marialva,2573.17
bebedouro,4992.89
sangao,264.78999999999996
vila velha,46895.83
pacajus,1262.5900000000001
pato branco,9047.640000000001
arapei,324.89
maravilha,711.97
assis,12199.23
engenheiro passos,250.89000000000001
torrinha,422.6700000000001
dionisio,118.80000000000001
tres barras,297.34
sao jose do vale do rio preto,1192.21
lorena,7650.030000000001
